N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"79,800",100,+0.13%,100,"4,763,886","5,969,783",53.46,"9,719,768",19.16,9.99
2,SK하이닉스,"123,000","3,000",+2.50%,"5,000","895,443","728,002",48.98,"2,873,351",17.57,9.53
3,NAVER,"441,000","22,500",+5.38%,100,"724,402","164,263",56.97,"1,492,454",4.49,15.22
4,카카오,"161,000","1,000",-0.62%,100,"715,581","444,460",32.16,"3,781,749",234.35,2.70
5,삼성전자우,"72,500",200,+0.28%,100,"596,593","822,887",75.54,"992,253",17.41,N/A
6,LG화학,"840,000","9,000",-1.06%,"5,000","592,976","70,592",47.05,"154,876",36.57,2.93
7,삼성바이오로직스,"865,000","5,000",-0.57%,"2,500","572,327","66,165",10.12,"50,151",215.71,N/A
8,삼성SDI,"750,000","20,000",+2.74%,"5,000","515,734","68,765",43.49,"315,873",73.46,4.54
9,현대차,"230,000",0,0.00%,"5,000","491,437","213,668",29.44,"512,479",27.83,2.04
10,셀트리온,"263,000",500,+0.19%,"1,000","362,720","137,917",20.41,"337,486",60.33,16.68
11,기아,"87,900",200,+0.23%,"5,000","356,314","405,363",33.61,"1,251,707",15.79,5.05
12,POSCO,"345,000",500,+0.15%,"5,000","300,795","87,187",53.92,"268,238",13.48,3.61
13,LG생활건강,"1,737,000","11,000",+0.64%,"5,000","271,288","15,618",46.57,"14,257",37.44,17.92
14,현대모비스,"284,000","3,000",+1.07%,"5,000","269,212","94,793",36.41,"193,292",15.16,4.66
15,LG전자,"163,500","5,000",+3.15%,"5,000","267,564","163,648",31.09,"1,099,707",15.23,13.23
16,SK이노베이션,"272,500",500,+0.18%,"5,000","251,969","92,466",23.06,"492,963",-25.77,-13.58
17,삼성물산,"132,500","1,500",+1.15%,100,"247,625","186,887",14.79,"210,541",15.78,3.81
18,SK텔레콤,"325,500","1,000",-0.31%,500,"234,556","72,060",46.18,"202,716",14.99,6.44
19,KB금융,"52,200",700,+1.36%,"5,000","217,052","415,808",67.81,"1,309,253",5.43,8.53
20,신한지주,"39,450",300,+0.77%,"5,000","203,799","516,600",60.60,"858,939",5.54,8.20
21,SK,"282,500","4,500",+1.62%,200,"198,768","70,360",20.22,"174,938",32.90,1.11
22,엔씨소프트,"777,000","5,000",+0.65%,500,"170,583","21,954",51.56,"76,836",36.08,20.83
23,한국전력,"24,800",50,+0.20%,"5,000","159,207","641,964",15.40,"1,126,300",7.75,2.91
24,LG,"100,000","2,000",+2.04%,"5,000","157,301","157,301",33.31,"289,300",9.18,7.50
25,삼성생명,"77,500",400,+0.52%,500,"155,000","200,000",13.37,"156,343",7.30,3.53
26,SK아이이테크놀로지,"211,500","1,500",+0.71%,"1,000","150,794","71,298",6.46,"456,379",N/A,11.00
27,HMM,"43,500",300,-0.68%,"5,000","150,246","345,392",12.68,"3,849,022",41.23,8.93
28,삼성에스디에스,"187,000","3,000",+1.63%,500,"144,696","77,378",11.87,"95,315",22.99,6.71
29,아모레퍼시픽,"243,000","1,500",+0.62%,500,"142,054","58,458",33.72,"146,904",170.05,0.78
30,삼성전기,"185,500","1,000",-0.54%,"5,000","138,557","74,694",31.66,"352,170",20.41,10.92
31,하나금융지주,"43,700",550,+1.27%,"5,000","131,206","300,242",68.16,"836,684",4.66,8.96
32,포스코케미칼,"161,000",500,-0.31%,500,"124,716","77,463",8.14,"794,892",193.51,2.96
33,하이브,"309,000","2,000",+0.65%,500,"120,519","39,003",14.18,"404,024",109.93,12.52
34,SK바이오사이언스,"154,500","1,000",-0.64%,500,"118,192","76,500",3.65,"377,614",120.05,13.25
35,넷마블,"136,500","1,000",+0.74%,100,"117,327","85,954",22.96,"205,242",37.13,6.35
36,S-Oil,"103,500","1,500",-1.43%,"2,500","116,523","112,583",77.63,"223,745",28.12,-13.07
37,KT&G,"83,800",200,+0.24%,"5,000","115,051","137,292",37.71,"313,895",9.99,13.22
38,두산중공업,"25,500",0,0.00%,"5,000","109,057","427,676",7.73,"7,054,226",-14.33,-37.20
39,대한항공,"30,950",450,+1.48%,"5,000","107,651","347,821",10.82,"1,498,797",13.23,-7.22
40,SK바이오팜,"132,500","5,000",+3.92%,500,"103,765","78,313",6.93,"331,406",-192.31,-135.18
41,삼성화재,"218,000","5,000",+2.35%,500,"103,277","47,375",48.25,"73,522",10.86,4.96
42,롯데케미칼,"269,000","14,000",+5.49%,"5,000","92,201","34,275",26.21,"444,068",12.42,1.22
43,한국조선해양,"127,500",500,+0.39%,"5,000","90,236","70,773",17.65,"193,779",-9.76,-7.42
44,한온시스템,"16,250",200,-1.22%,100,"86,742","533,800",18.59,"1,027,957",64.23,5.09
45,KT,"33,100",650,+2.00%,"5,000","86,428","261,112",44.25,"1,030,828",11.49,4.76
46,LG디스플레이,"23,450",250,+1.08%,"5,000","83,908","357,816",19.35,"1,606,672",24.84,-0.79
47,한화솔루션,"43,650",900,+2.11%,"5,000","83,493","191,278",17.12,"1,177,623",11.70,5.30
48,우리금융지주,"11,400",150,+1.33%,"5,000","82,339","722,268",25.71,"1,263,157",5.65,5.87
49,고려아연,"430,000","1,000",+0.23%,"5,000","81,141","18,870",20.99,"29,582",12.59,8.37
50,기업은행,"10,350",100,+0.98%,"5,000","77,035","744,301",12.81,"1,094,480",5.07,6.44
51,현대글로비스,"201,000",500,+0.25%,500,"75,375","37,500",34.96,"103,242",13.10,12.45
52,현대제철,"52,800",300,-0.56%,"5,000","70,459","133,446",20.13,"819,259",-67.26,-2.59
53,금호석유,"220,000","1,000",-0.45%,"5,000","67,029","30,468",23.50,"598,695",7.92,20.18
54,CJ제일제당,"444,500","1,500",+0.34%,"5,000","66,916","15,054",25.08,"26,634",17.88,13.50
55,현대건설,"58,500",800,+1.39%,"5,000","65,143","111,356",21.60,"603,331",52.89,1.84
56,LG유플러스,"14,800",100,+0.68%,"5,000","64,618","436,611",33.38,"1,274,079",12.47,6.46
57,한국타이어앤테크놀로지,"51,800","1,300",+2.57%,500,"64,167","123,875",41.92,"144,747",14.27,5.12
58,SKC,"161,000","1,500",+0.94%,"5,000","60,968","37,868",13.69,"365,861","-2,555.56",2.21
59,미래에셋증권,"9,330",150,+1.63%,"5,000","59,275","635,316",14.22,"1,193,021",7.43,8.94
60,코웨이,"78,000",0,0.00%,500,"57,564","73,800",59.35,"121,169",13.42,31.51
61,한국금융지주,"101,500","4,500",+4.64%,"5,000","56,562","55,726",32.64,"505,468",4.53,16.27
62,강원랜드,"26,150",350,+1.36%,500,"55,945","213,940",19.53,"614,599",-34.82,-7.92
63,한미사이언스,"82,700","2,200",-2.59%,500,"55,661","67,305",1.74,"208,288",201.22,3.47
64,현대중공업지주,"69,500","1,200",+1.76%,"1,000","54,900","78,993",17.23,"169,389",-24.28,-8.12
65,LG이노텍,"223,000","5,000",-2.19%,"5,000","52,778","23,667",31.21,"272,719",12.97,10.20
66,아모레G,"62,400",800,+1.30%,500,"51,454","82,458",17.71,"216,481",122.35,0.31
67,두산밥캣,"49,000",600,-1.21%,500,"49,122","100,249",26.01,"203,412",14.92,6.15
68,오리온,"118,000",0,0.00%,500,"46,653","39,536",39.01,"40,919",17.53,15.50
69,맥쿼리인프라,"12,300",50,-0.40%,0,"45,780","372,192",14.97,"725,251",N/A,N/A
70,삼성엔지니어링,"22,550",300,-1.31%,"5,000","44,198","196,000",30.78,"2,419,650",15.62,16.75
71,이마트,"157,500","3,000",+1.94%,"5,000","43,904","27,876",31.86,"91,005",10.86,4.05
72,유한양행,"62,500",300,+0.48%,"1,000","43,733","69,973",18.23,"110,003",45.59,11.06
73,한진칼,"65,400",400,-0.61%,"2,500","43,646","66,737",15.01,"76,135",-53.26,-19.55
74,CJ대한통운,"185,000","4,000",+2.21%,"5,000","42,203","22,812",23.00,"63,538",35.15,3.89
75,GS,"45,250",800,+1.80%,"5,000","42,044","92,915",19.41,"138,242",6.64,-2.82
76,삼성중공업,"6,670",10,+0.15%,"5,000","42,021","630,000",14.10,"2,955,925",-2.35,-33.06
77,F&F,"548,000","13,000",+2.43%,500,"41,985","7,661",10.47,"39,349",N/A,N/A
78,팬오션,"7,740",130,-1.65%,"1,000","41,376","534,570",11.11,"6,765,372",32.94,3.25
79,한미약품,"341,500","1,500",-0.44%,"2,500","41,247","12,078",13.27,"31,249",175.76,1.65
80,쌍용C&E,"8,180",80,+0.99%,100,"41,216","503,860",3.50,"832,005",29.85,7.92
81,현대차2우B,"112,000","1,000",+0.90%,"5,000","40,864","36,485",61.22,"53,737",13.55,N/A
82,롯데지주,"38,900",550,+1.43%,200,"40,810","104,909",8.41,"260,407",-95.58,-3.03
83,삼성카드,"34,750",50,+0.14%,"5,000","40,261","115,859",8.35,"175,351",9.47,5.69
84,DB손해보험,"55,800",800,+1.45%,500,"39,506","70,800",43.49,"89,200",6.37,9.08
85,효성티앤씨,"906,000","28,000",+3.19%,"5,000","39,209","4,328",22.84,"70,008",15.30,25.10
86,삼성증권,"43,600",550,+1.28%,"5,000","38,935","89,300",28.11,"228,323",4.98,9.89
87,KODEX 200,"43,550",365,+0.85%,0,"37,932","87,100",3.70,"2,182,253",N/A,N/A
88,GS건설,"44,300",700,+1.61%,"5,000","37,913","85,581",26.61,"821,583",10.65,7.68
89,녹십자,"323,500","2,000",-0.61%,"5,000","37,806","11,687",21.07,"35,342",37.76,7.48
90,호텔신라,"95,300","2,000",+2.14%,"5,000","37,403","39,248",19.49,"405,723",-18.04,-36.74
91,대우조선해양,"33,550",200,+0.60%,"5,000","35,996","107,291",7.27,"236,958",-9.21,2.27
92,NH투자증권,"12,550",50,+0.40%,"5,000","35,317","281,409",17.82,"272,402",4.70,10.32
93,현대오토에버,"128,500",500,+0.39%,500,"35,240","27,424",1.43,"43,691",45.79,11.09
94,신풍제약,"64,200","1,100",-1.68%,500,"34,016","52,985",8.51,"2,694,200",746.51,1.72
95,씨에스윈드,"79,900","3,400",+4.44%,500,"33,695","42,171",10.74,"1,331,403",64.38,8.19
96,한국항공우주,"34,450",400,+1.17%,"5,000","33,580","97,475",14.10,"617,628",436.08,6.39
97,두산인프라코어,"14,450",0,0.00%,"5,000","33,408","231,195",9.72,0,13.75,6.47
98,메리츠증권,"4,870",75,+1.56%,"1,000","33,200","681,731",14.08,"1,225,545",5.38,13.08
99,일진머티리얼즈,"71,800",600,+0.84%,500,"33,108","46,111",9.50,"431,753",82.34,7.23
100,한국가스공사,"35,400",100,+0.28%,"5,000","32,679","92,313",6.71,"250,592",-16.65,-2.24
101,휠라홀딩스,"53,600",200,+0.37%,"1,000","32,563","60,752",46.55,"188,889",17.10,10.94
102,키움증권,"123,000","2,500",+2.07%,"5,000","32,215","26,191",23.33,"65,285",3.28,27.63
103,한화시스템,"17,050",0,0.00%,"5,000","32,211","188,919",2.53,"536,301",19.51,9.35
104,에스원,"84,400","2,400",+2.93%,500,"32,071","37,999",54.41,"110,255",21.46,10.48
105,롯데쇼핑,"113,000","2,000",+1.80%,"5,000","31,966","28,289",10.53,"69,209",-4.24,-7.70
106,현대미포조선,"79,500",500,-0.62%,"5,000","31,754","39,942",9.89,"240,807",-97.07,-0.84
107,두산퓨얼셀,"47,600",450,+0.95%,100,"31,175","65,494",11.71,"453,100",268.93,4.18
108,한화생명,"3,585",35,+0.99%,"5,000","31,137","868,530",7.28,"2,602,325",6.65,1.90
109,대우건설,"7,380",20,-0.27%,"5,000","30,673","415,623",9.50,"4,209,044",8.29,11.06
110,메리츠금융지주,"22,300",300,+1.36%,500,"29,885","134,011",7.85,"112,473",5.22,16.06
111,CJ,"102,000","1,000",+0.99%,"5,000","29,761","29,177",17.57,"65,822",-269.13,1.89
112,DL이앤씨,"153,000","1,500",+0.99%,"5,000","29,619","19,359",28.92,"155,518",N/A,N/A
113,동서,"29,700",200,-0.67%,500,"29,611","99,700",3.43,"95,661",25.89,8.61
114,포스코인터내셔널,"23,900",400,+1.70%,"5,000","29,487","123,375",12.27,"1,093,748",11.40,7.69
115,LG화학우,"382,500",500,-0.13%,"5,000","29,410","7,689",66.54,"14,935",16.65,N/A
116,만도,"62,600",500,+0.81%,"1,000","29,395","46,957",24.38,"298,142",63.17,0.37
117,제일기획,"25,450",600,+2.41%,200,"29,278","115,041",33.78,"411,231",17.65,16.11
118,SK케미칼,"249,000","1,500",+0.61%,"5,000","29,261","11,751",17.81,"37,982",11.30,30.49
119,BGF리테일,"169,000","2,000",+1.20%,"1,000","29,210","17,284",31.97,"23,551",23.08,18.60
120,DB하이텍,"64,500",200,+0.31%,"5,000","28,637","44,399",19.26,"1,413,125",18.08,23.07
121,GS리테일,"36,900",450,+1.23%,"1,000","28,413","77,000",10.58,"213,172",18.96,7.50
122,더존비즈온,"92,400","1,300",-1.39%,500,"28,035","30,341",39.46,"150,699",51.45,15.09
123,KCC,"312,500","1,000",+0.32%,"5,000","27,770","8,886",11.87,"29,363",3.22,12.79
124,신세계,"281,000","6,000",+2.18%,"5,000","27,665","9,845",28.08,"78,869",-86.54,-2.81
125,한샘,"117,500","9,000",+8.29%,"1,000","27,652","23,534",22.05,"547,867",37.70,10.83
126,현대차우,"112,500",500,+0.45%,"5,000","27,401","24,357",58.91,"38,487",13.61,N/A
127,OCI,"114,500","1,500",+1.33%,"5,000","27,308","23,849",16.15,"314,558",-17.95,-9.89
128,한솔케미칼,"237,500","1,000",+0.42%,"5,000","26,921","11,335",41.90,"31,597",20.76,24.50
129,한화에어로스페이스,"51,500",300,+0.59%,"5,000","26,074","50,630",20.44,"476,827",11.67,4.78
130,메리츠화재,"20,950",300,+1.45%,500,"25,271","120,625",10.93,"204,700",5.30,16.91
131,현대로템,"23,100",50,-0.22%,"5,000","25,212","109,142",4.40,"896,651",53.47,2.84
132,현대위아,"92,300","1,000",+1.10%,"5,000","25,101","27,195",7.81,"376,160",163.07,1.96
133,KODEX 단기채권,"102,830",10,-0.01%,0,"25,065","24,375",0.00,"23,724",N/A,N/A
134,BNK금융지주,"7,590",70,+0.93%,"5,000","24,738","325,935",38.31,"1,055,994",4.31,6.11
135,효성첨단소재,"552,000","38,000",+7.39%,"5,000","24,729","4,480",11.04,"128,930",68.13,0.03
136,하이트진로,"35,100",200,+0.57%,"5,000","24,617","70,134",6.27,"403,494",30.36,8.23
137,대한전선,"2,840",75,-2.57%,500,"24,324","856,473",3.31,"18,917,309",202.86,0.92
138,한화,"30,850",50,+0.16%,"5,000","23,125","74,959",18.08,"243,737",7.90,4.79
139,효성,"109,500","1,000",+0.92%,"5,000","23,073","21,071",9.50,"95,031",81.84,-2.26
140,KODEX 200선물인버스2X,"1,885",25,-1.31%,0,"23,052","1,222,900",2.21,"107,854,292",N/A,N/A
141,현대해상,"25,700",400,+1.58%,500,"22,976","89,400",28.33,"423,385",6.21,7.13
142,LS,"70,700","1,100",+1.58%,"5,000","22,765","32,200",14.74,"152,335",12.45,3.94
143,대웅,"37,950",500,-1.30%,500,"22,065","58,142",3.71,"290,566",25.64,15.10
144,코오롱인더,"80,800","2,100",+2.67%,"5,000","21,799","26,979",19.48,"307,343",26.77,9.70
145,HDC현대산업개발,"32,850",100,+0.31%,"5,000","21,651","65,907",11.80,"492,017",10.46,8.85
146,TIGER 200,"43,585",375,+0.87%,0,"21,073","48,350",0.00,"265,556",N/A,N/A
147,진원생명과학,"46,050","5,250",-10.23%,"1,000","20,810","45,189",14.81,"11,002,060",-105.38,-30.43
148,현대엘리베이,"50,400",100,-0.20%,"5,000","20,571","40,815",28.81,"156,908",18.38,9.78
149,한전기술,"53,400",700,-1.29%,200,"20,409","38,220",2.51,"622,513",121.92,N/A
150,동국제강,"21,100",100,-0.47%,"5,000","20,136","95,433",21.33,"1,065,368",9.56,3.35
151,금호타이어,"6,920",120,-1.70%,"5,000","19,878","287,260",4.37,"620,430",-130.57,-6.74
152,현대백화점,"83,700","1,400",+1.70%,"5,000","19,588","23,402",19.21,"113,539",20.09,1.65
153,오뚜기,"531,000","2,000",+0.38%,"5,000","19,498","3,672",12.79,"4,855",20.13,7.93
154,KODEX 삼성그룹,"10,450",105,+1.01%,0,"19,009","181,900",0.07,"316,325",N/A,N/A
155,농심,"310,000","1,000",+0.32%,"5,000","18,856","6,083",13.46,"15,999",14.64,7.50
156,한전KPS,"41,300","1,150",-2.71%,200,"18,585","45,000",8.61,"398,397",17.22,8.23
157,영원무역,"41,450",350,+0.85%,500,"18,367","44,311",26.97,"178,261",11.88,8.03
158,한국앤컴퍼니,"19,250",300,+1.58%,500,"18,275","94,935",10.00,"95,834",8.88,5.08
159,대웅제약,"155,500","2,500",-1.58%,"2,500","18,017","11,587",5.49,"79,920",-163.34,2.38
160,프레스티지바이오파마,"29,950",550,-1.80%,0,"17,999","60,096",63.84,"373,964",-89.14,N/A
161,아이에스동서,"57,300",400,+0.70%,500,"17,701","30,893",4.72,"39,390",13.85,10.92
162,롯데정밀화학,"68,600",700,+1.03%,"5,000","17,699","25,800",19.76,"157,637",9.02,12.65
163,두산,"106,500","1,000",+0.95%,"5,000","17,598","16,524",11.00,"142,021",-12.82,-34.34
164,솔루스첨단소재,"56,500","3,900",+7.41%,100,"17,283","30,590",5.57,"2,333,395",-156.08,-5.10
165,KG동부제철,"17,250",150,-0.86%,"5,000","17,252","100,009",1.17,"351,255",19.12,7.18
166,DL,"81,500","2,300",+2.90%,"5,000","17,079","20,956",15.88,"266,046",4.37,11.84
167,지누스,"107,000","1,500",+1.42%,500,"16,906","15,800",22.93,"45,665",35.31,11.61
168,LS ELECTRIC,"56,200",0,0.00%,"5,000","16,860","30,000",14.20,"89,321",21.43,6.15
169,한미반도체,"33,950",100,+0.30%,200,"16,792","49,460",7.03,"277,933",27.74,21.03
170,LG생활건강우,"797,000","8,000",-0.99%,"5,000","16,735","2,100",86.05,"2,321",17.18,N/A
171,명신산업,"31,000",950,+3.16%,500,"16,266","52,470",1.10,"780,898",-13.44,-67.39
172,에스엘,"33,700","1,100",+3.37%,500,"16,244","48,203",16.84,"230,095",14.72,4.74
173,대한유화,"248,500","20,500",+8.99%,"5,000","16,152","6,500",19.16,"237,705",7.08,6.93
174,NHN,"81,900","1,600",+1.99%,500,"16,024","19,565",12.25,"89,296",59.78,1.35
175,코스맥스,"140,000","2,000",+1.45%,500,"15,889","11,350",23.67,"79,954",44.04,6.23
176,녹십자홀딩스,"33,700",600,-1.75%,500,"15,848","47,028",4.85,"158,421",8.94,19.74
177,KODEX 단기채권PLUS,"103,130",5,0.00%,0,"15,793","15,314",0.00,"2,368,760",N/A,N/A
178,종근당,"136,500","1,000",+0.74%,"2,500","15,597","11,426",7.78,"50,461",17.57,17.88
179,DGB금융지주,"9,130",100,+1.11%,"5,000","15,443","169,146",48.28,"463,911",4.20,6.93
180,SK네트웍스,"6,190",310,+5.27%,"2,500","15,363","248,188",12.95,"3,938,208",14.84,1.63
181,KODEX 레버리지,"28,775",485,+1.71%,0,"14,675","51,000",3.58,"10,035,007",N/A,N/A
182,롯데리츠,"5,980",10,+0.17%,500,"14,530","242,969",10.03,"229,663",34.77,1.83
183,KODEX 종합채권(AA-이상)액티브,"109,120",75,-0.07%,0,"14,437","13,230",0.00,"2,022",N/A,N/A
184,부광약품,"20,300",50,+0.25%,500,"14,426","71,063",4.07,"426,320",-152.63,-2.46
185,JB금융지주,"7,320",20,+0.27%,"5,000","14,419","196,983",41.02,"322,423",3.61,10.06
186,신세계인터내셔날,"199,500",0,0.00%,"5,000","14,244","7,140",5.43,"23,174",20.45,8.24
187,KODEX 200TR,"14,245",135,+0.96%,0,"14,145","99,300",0.02,"25,338",N/A,N/A
188,솔루엠,"28,200",200,+0.71%,500,"14,045","49,806",4.83,"387,554",27.59,43.26
189,롯데관광개발,"19,800",50,+0.25%,500,"13,717","69,276",6.62,"495,215",-11.07,-30.43
190,세방전지,"95,300","2,400",+2.58%,500,"13,342","14,000",25.27,"79,751",17.29,6.14
191,LG전자우,"77,600","1,000",+1.31%,"5,000","13,336","17,186",40.66,"78,072",7.23,N/A
192,티와이홀딩스,"32,350","2,450",+8.19%,500,"12,996","40,172",6.04,"600,062",1.22,N/A
193,이노션,"64,400",300,+0.47%,500,"12,880","20,000",30.02,"20,228",21.93,8.28
194,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.77,0,-19.07,-43.83
195,효성화학,"400,000","21,000",+5.54%,"5,000","12,760","3,190",8.93,"112,905",43.67,-2.71
196,한국콜마,"55,600",300,+0.54%,500,"12,722","22,881",26.86,"138,244",7.94,29.27
197,다우기술,"27,950",500,+1.82%,500,"12,540","44,867",21.80,"95,611",3.31,18.85
198,롯데칠성,"139,500","2,500",+1.82%,500,"12,520","8,975",8.84,"23,823",188.01,-1.00
199,이연제약,"69,000","2,700",-3.77%,500,"12,419","17,999",1.08,"1,100,736",249.10,1.71
200,동원시스템즈,"48,450","3,000",+6.60%,"5,000","12,412","25,619",1.22,"340,622",23.66,10.97
